grade,kanji
4,不
4,争
4,井
4,付
4,令
4,以
4,仲
4,伝
4,位
4,低
4,佐
4,例
4,便
4,信
4,倉
4,候
4,借
4,健
4,側
4,働
4,億
4,兆
4,児
4,共
4,兵
4,典
4,冷
4,初
4,別
4,利
4,刷
4,副
4,功
4,加
4,努
4,労
4,勇
4,包
4,卒
4,協
4,単
4,博
4,印
4,参
4,司
4,各
4,周
4,唱
4,器
4,固
4,城
4,埼
4,塩
4,変
4,夫
4,失
4,奈
4,好
4,媛
4,季
4,孫
4,完
4,官
4,害
4,富
4,察
4,岐
4,岡
4,崎
4,巣
4,差
4,希
4,席
4,帯
4,底
4,府
4,康
4,建
4,径
4,徒
4,徳
4,必
4,念
4,愛
4,成
4,戦
4,折
4,挙
4,改
4,敗
4,散
4,料
4,旗
4,昨
4,景
4,最
4,望
4,未
4,末
4,札
4,材
4,束
4,松
4,果
4,栃
4,栄
4,案
4,梅
4,梨
4,械
4,極
4,標
4,機
4,欠
4,残
4,氏
4,民
4,求
4,沖
4,治
4,法
4,泣
4,浅
4,浴
4,清
4,満
4,滋
4,漁
4,潟
4,灯
4,無
4,然
4,焼
4,照
4,熊
4,熱
4,牧
4,特
4,産
4,的
4,省
4,祝
4,票
4,種
4,積
4,競
4,笑
4,管
4,節
4,約
4,結
4,給
4,続
4,縄
4,置
4,群
4,老
4,臣
4,良
4,芸
4,芽
4,英
4,茨
4,菜
4,街
4,衣
4,要
4,覚
4,観
4,訓
4,試
4,説
4,課
4,議
4,貨
4,賀
4,軍
4,輪
4,辞
4,辺
4,連
4,達
4,選
4,郡
4,量
4,録
4,鏡
4,関
4,阜
4,阪
4,陸
4,隊
4,静
4,順
4,願
4,類
4,飛
4,飯
4,養
4,香
4,験
4,鹿
